date,source_currency,target_currency,exchange_rate_to_target
2018-01-02,EUR,AUD,1.5413
2018-01-02,EUR,BGN,1.9558
2018-01-02,EUR,BRL,3.9504
2018-01-02,EUR,CAD,1.5128
2018-01-02,EUR,CHF,1.1718
2018-01-02,EUR,CNY,7.8338
2018-01-02,EUR,CZK,25.494
2018-01-02,EUR,DKK,7.4437
2018-01-02,EUR,GBP,0.88953
2018-01-02,EUR,HKD,9.4283
2018-01-02,EUR,HRK,7.464
2018-01-02,EUR,HUF,308.59
2018-01-02,EUR,IDR,16266.03
2018-01-02,EUR,ILS,4.1693
2018-01-02,EUR,INR,76.6005
2018-01-02,EUR,JPY,135.35
2018-01-02,EUR,KRW,1281.59
2018-01-02,EUR,MXN,23.5534
2018-01-02,EUR,MYR,4.8495
2018-01-02,EUR,NOK,9.7748
2018-01-02,EUR,NZD,1.6955
2018-01-02,EUR,PHP,60.132
2018-01-02,EUR,PLN,4.1633
2018-01-02,EUR,RON,4.6525
2018-01-02,EUR,RUB,69.1176
2018-01-02,EUR,SEK,9.8283
2018-01-02,EUR,SGD,1.6031
2018-01-02,EUR,THB,39.115
2018-01-02,EUR,TRY,4.534
2018-01-02,EUR,USD,1.2065
2018-01-02,EUR,ZAR,14.9
2018-01-02,GBP,AUD,1.7327127809
2018-01-02,GBP,BGN,2.1986891954
2018-01-02,GBP,BRL,4.440996931
2018-01-02,GBP,CAD,1.7006733893
2018-01-02,GBP,CHF,1.3173248794
2018-01-02,GBP,CNY,8.806673187
2018-01-02,GBP,CZK,28.6600789181
2018-01-02,GBP,DKK,8.3681269884
2018-01-02,GBP,EUR,1.1241891786
2018-01-02,GBP,GBP,1.0
2018-01-02,GBP,HKD,10.5991928322
2018-01-02,GBP,HRK,8.3909480287
2018-01-02,GBP,HUF,346.9135386103
2018-01-02,GBP,IDR,18286.0949040505
2018-01-02,GBP,ILS,4.6870819421
2018-01-02,GBP,INR,86.1134531719
2018-01-02,GBP,JPY,152.1590053174
2018-01-02,GBP,KRW,1440.7496093443
2018-01-02,GBP,MXN,26.4784773982
2018-01-02,GBP,MYR,5.4517554214
2018-01-02,GBP,NOK,10.9887243825
2018-01-02,GBP,NZD,1.9060627522
2018-01-02,GBP,PHP,67.5997436849
2018-01-02,GBP,PLN,4.6803368071
2018-01-02,GBP,RON,5.2302901532
2018-01-02,GBP,RUB,77.7012579677
2018-01-02,GBP,SEK,11.0488685036
2018-01-02,GBP,SGD,1.8021876721
2018-01-02,GBP,THB,43.9726597192
2018-01-02,GBP,TRY,5.0970737356
2018-01-02,GBP,USD,1.3563342439
2018-01-02,GBP,ZAR,16.7504187605
2018-01-02,USD,AUD,1.2774968918
2018-01-02,USD,BGN,1.6210526316
2018-01-02,USD,BRL,3.2742644012
2018-01-02,USD,CAD,1.2538748446
2018-01-02,USD,CHF,0.9712391214
2018-01-02,USD,CNY,6.4929962702
2018-01-02,USD,CZK,21.1305428927
2018-01-02,USD,DKK,6.1696643183
2018-01-02,USD,EUR,0.828843763
2018-01-02,USD,GBP,0.7372813925
2018-01-02,USD,HKD,7.8145876502
2018-01-02,USD,HRK,6.1864898467
2018-01-02,USD,HUF,255.772896809
2018-01-02,USD,IDR,13481.9975134687
2018-01-02,USD,ILS,3.4556983009
2018-01-02,USD,INR,63.4898466639
2018-01-02,USD,JPY,112.1840033154
2018-01-02,USD,KRW,1062.23787816
2018-01-02,USD,MXN,19.5220886863
2018-01-02,USD,MYR,4.0194778284
2018-01-02,USD,NOK,8.1017820141
2018-01-02,USD,NZD,1.4053046001
2018-01-02,USD,PHP,49.8400331538
2018-01-02,USD,PLN,3.4507252383
2018-01-02,USD,RON,3.8561956071
2018-01-02,USD,RUB,57.2876916701
2018-01-02,USD,SEK,8.1461251554
2018-01-02,USD,SGD,1.3287194364
2018-01-02,USD,THB,32.4202237878
2018-01-02,USD,TRY,3.7579776212
2018-01-02,USD,USD,1.0
2018-01-02,USD,ZAR,12.349772068
2018-01-03,EUR,AUD,1.5339
2018-01-03,EUR,BGN,1.9558
2018-01-03,EUR,BRL,3.9236
2018-01-03,EUR,CAD,1.5047
2018-01-03,EUR,CHF,1.1736
2018-01-03,EUR,CNY,7.8168
2018-01-03,EUR,CZK,25.545
2018-01-03,EUR,DKK,7.4442
2018-01-03,EUR,GBP,0.8864
2018-01-03,EUR,HKD,9.3985
2018-01-03,EUR,HRK,7.441
2018-01-03,EUR,HUF,309.29
2018-01-03,EUR,IDR,16176.95
2018-01-03,EUR,ILS,4.1588
2018-01-03,EUR,INR,76.3455
2018-01-03,EUR,JPY,134.97
2018-01-03,EUR,KRW,1281.39
2018-01-03,EUR,MXN,23.3835
2018-01-03,EUR,MYR,4.8272
2018-01-03,EUR,NOK,9.744
2018-01-03,EUR,NZD,1.6942
2018-01-03,EUR,PHP,59.988
2018-01-03,EUR,PLN,4.1652
2018-01-03,EUR,RON,4.6355
2018-01-03,EUR,RUB,69.0962
2018-01-03,EUR,SEK,9.825
2018-01-03,EUR,SGD,1.5988
2018-01-03,EUR,THB,39.11
2018-01-03,EUR,TRY,4.5303
2018-01-03,EUR,USD,1.2023
2018-01-03,EUR,ZAR,14.8845
2018-01-03,GBP,AUD,1.730482852
2018-01-03,GBP,BGN,2.2064530686
2018-01-03,GBP,BRL,4.4264440433
2018-01-03,GBP,CAD,1.6975406137
2018-01-03,GBP,CHF,1.3240072202
2018-01-03,GBP,CNY,8.8185920578
2018-01-03,GBP,CZK,28.8188176895
2018-01-03,GBP,DKK,8.3982400722
2018-01-03,GBP,EUR,1.1281588448
2018-01-03,GBP,GBP,1.0
2018-01-03,GBP,HKD,10.6030009025
2018-01-03,GBP,HRK,8.3946299639
2018-01-03,GBP,HUF,348.9282490975
2018-01-03,GBP,IDR,18250.1692238267
2018-01-03,GBP,ILS,4.6917870036
2018-01-03,GBP,INR,86.129851083
2018-01-03,GBP,JPY,152.267599278
2018-01-03,GBP,KRW,1445.6114620939
2018-01-03,GBP,MXN,26.3803023466
2018-01-03,GBP,MYR,5.4458483755
2018-01-03,GBP,NOK,10.9927797834
2018-01-03,GBP,NZD,1.9113267148
2018-01-03,GBP,PHP,67.6759927798
2018-01-03,GBP,PLN,4.6990072202
2018-01-03,GBP,RON,5.2295803249
2018-01-03,GBP,RUB,77.9514891697
2018-01-03,GBP,SEK,11.0841606498
2018-01-03,GBP,SGD,1.803700361
2018-01-03,GBP,THB,44.1222924188
2018-01-03,GBP,TRY,5.1108980144
2018-01-03,GBP,USD,1.3563853791
2018-01-03,GBP,ZAR,16.7920803249
2018-01-03,USD,AUD,1.2758047076
2018-01-03,USD,BGN,1.626715462
2018-01-03,USD,BRL,3.2634117941
2018-01-03,USD,CAD,1.251517924
2018-01-03,USD,CHF,0.9761290859
2018-01-03,USD,CNY,6.5015387175
2018-01-03,USD,CZK,21.2467770107
2018-01-03,USD,DKK,6.191632704
2018-01-03,USD,EUR,0.8317391666
2018-01-03,USD,GBP,0.7372535973
2018-01-03,USD,HKD,7.8171005573
2018-01-03,USD,HRK,6.1889711387
2018-01-03,USD,HUF,257.2486068369
2018-01-03,USD,IDR,13455.0029110871
2018-01-03,USD,ILS,3.459036846
2018-01-03,USD,INR,63.4995425435
2018-01-03,USD,JPY,112.2598353156
2018-01-03,USD,KRW,1065.7822506862
2018-01-03,USD,MXN,19.4489728021
2018-01-03,USD,MYR,4.014971305
2018-01-03,USD,NOK,8.1044664393
2018-01-03,USD,NZD,1.409132496
2018-01-03,USD,PHP,49.8943691258
2018-01-03,USD,PLN,3.4643599767
2018-01-03,USD,RON,3.8555269068
2018-01-03,USD,RUB,57.470015803
2018-01-03,USD,SEK,8.1718373118
2018-01-03,USD,SGD,1.3297845796
2018-01-03,USD,THB,32.5293188056
2018-01-03,USD,TRY,3.7680279464
2018-01-03,USD,USD,1.0
2018-01-03,USD,ZAR,12.3800216252
2018-01-04,EUR,AUD,1.5398
2018-01-04,EUR,BGN,1.9558
2018-01-04,EUR,BRL,3.906
2018-01-04,EUR,CAD,1.5114
2018-01-04,EUR,CHF,1.1763
2018-01-04,EUR,CNY,7.838
2018-01-04,EUR,CZK,25.515
2018-01-04,EUR,DKK,7.4449
2018-01-04,EUR,GBP,0.89103
2018-01-04,EUR,HKD,9.4323
2018-01-04,EUR,HRK,7.4355
2018-01-04,EUR,HUF,308.53
2018-01-04,EUR,IDR,16191.23
2018-01-04,EUR,ILS,4.1578
2018-01-04,EUR,INR,76.498
2018-01-04,EUR,JPY,135.92
2018-01-04,EUR,KRW,1283.14
2018-01-04,EUR,MXN,23.3216
2018-01-04,EUR,MYR,4.8405
2018-01-04,EUR,NOK,9.7655
2018-01-04,EUR,NZD,1.6957
2018-01-04,EUR,PHP,60.062
2018-01-04,EUR,PLN,4.1555
2018-01-04,EUR,RON,4.629
2018-01-04,EUR,RUB,68.9312
2018-01-04,EUR,SEK,9.822
2018-01-04,EUR,SGD,1.6043
2018-01-04,EUR,THB,38.873
2018-01-04,EUR,TRY,4.5367
2018-01-04,EUR,USD,1.2065
2018-01-04,EUR,ZAR,14.8475
2018-01-04,GBP,AUD,1.7281124092
2018-01-04,GBP,BGN,2.1949878231
2018-01-04,GBP,BRL,4.3836907848
2018-01-04,GBP,CAD,1.6962391839
2018-01-04,GBP,CHF,1.3201575705
2018-01-04,GBP,CNY,8.796561283
2018-01-04,GBP,CZK,28.6353994815
2018-01-04,GBP,DKK,8.3553864629
2018-01-04,GBP,EUR,1.1222966679
2018-01-04,GBP,GBP,1.0
2018-01-04,GBP,HKD,10.5858388606
2018-01-04,GBP,HRK,8.3448368742
2018-01-04,GBP,HUF,346.2621909476
2018-01-04,GBP,IDR,18171.3634782218
2018-01-04,GBP,ILS,4.6662850858
2018-01-04,GBP,INR,85.8534505011
2018-01-04,GBP,JPY,152.5425631011
2018-01-04,GBP,KRW,1440.0637464507
2018-01-04,GBP,MXN,26.1737539701
2018-01-04,GBP,MYR,5.432477021
2018-01-04,GBP,NOK,10.9597881104
2018-01-04,GBP,NZD,1.9030784598
2018-01-04,GBP,PHP,67.4073824675
2018-01-04,GBP,PLN,4.6637038035
2018-01-04,GBP,RON,5.1951112757
2018-01-04,GBP,RUB,77.3612560744
2018-01-04,GBP,SEK,11.0231978721
2018-01-04,GBP,SGD,1.8005005443
2018-01-04,GBP,THB,43.6270383713
2018-01-04,GBP,TRY,5.0915232933
2018-01-04,GBP,USD,1.3540509298
2018-01-04,GBP,ZAR,16.6632997767
2018-01-04,USD,AUD,1.2762536262
2018-01-04,USD,BGN,1.6210526316
2018-01-04,USD,BRL,3.2374637381
2018-01-04,USD,CAD,1.2527144633
2018-01-04,USD,CHF,0.9749689184
2018-01-04,USD,CNY,6.496477414
2018-01-04,USD,CZK,21.1479486117
2018-01-04,USD,DKK,6.1706589308
2018-01-04,USD,EUR,0.828843763
2018-01-04,USD,GBP,0.7385246581
2018-01-04,USD,HKD,7.8179030253
2018-01-04,USD,HRK,6.1628677994
2018-01-04,USD,HUF,255.7231661832
2018-01-04,USD,IDR,13420.0
2018-01-04,USD,ILS,3.4461665976
2018-01-04,USD,INR,63.4048901782
2018-01-04,USD,JPY,112.6564442603
2018-01-04,USD,KRW,1063.5225859925
2018-01-04,USD,MXN,19.329962702
2018-01-04,USD,MYR,4.0120182346
2018-01-04,USD,NOK,8.0940737671
2018-01-04,USD,NZD,1.4054703688
2018-01-04,USD,PHP,49.7820140903
2018-01-04,USD,PLN,3.4442602569
2018-01-04,USD,RON,3.8367177787
2018-01-04,USD,RUB,57.1331951927
2018-01-04,USD,SEK,8.1409034397
2018-01-04,USD,SGD,1.3297140489
2018-01-04,USD,THB,32.2196435972
2018-01-04,USD,TRY,3.7602154994
2018-01-04,USD,USD,1.0
2018-01-04,USD,ZAR,12.3062577704
2018-01-05,EUR,AUD,1.5361
2018-01-05,EUR,BGN,1.9558
2018-01-05,EUR,BRL,3.9057
2018-01-05,EUR,CAD,1.5068
2018-01-05,EUR,CHF,1.1757
2018-01-05,EUR,CNY,7.8151
2018-01-05,EUR,CZK,25.594
2018-01-05,EUR,DKK,7.4459
2018-01-05,EUR,GBP,0.88883
2018-01-05,EUR,HKD,9.4188
2018-01-05,EUR,HRK,7.435
2018-01-05,EUR,HUF,308.77
2018-01-05,EUR,IDR,16164.39
2018-01-05,EUR,ILS,4.1402
2018-01-05,EUR,INR,76.329
2018-01-05,EUR,JPY,136.45
2018-01-05,EUR,KRW,1281.2
2018-01-05,EUR,MXN,23.3267
2018-01-05,EUR,MYR,4.818
2018-01-05,EUR,NOK,9.7418
2018-01-05,EUR,NZD,1.6837
2018-01-05,EUR,PHP,60.065
2018-01-05,EUR,PLN,4.1554
2018-01-05,EUR,RON,4.6351
2018-01-05,EUR,RUB,68.7724
2018-01-05,EUR,SEK,9.8318
2018-01-05,EUR,SGD,1.5993
2018-01-05,EUR,THB,38.773
2018-01-05,EUR,TRY,4.5127
2018-01-05,EUR,USD,1.2045
2018-01-05,EUR,ZAR,14.8886
2018-01-05,GBP,AUD,1.728226995
2018-01-05,GBP,BGN,2.2004207779
2018-01-05,GBP,BRL,4.394203616
2018-01-05,GBP,CAD,1.6952623111
2018-01-05,GBP,CHF,1.3227501322
2018-01-05,GBP,CNY,8.7925700078
2018-01-05,GBP,CZK,28.7951576792
2018-01-05,GBP,DKK,8.377192489
2018-01-05,GBP,EUR,1.1250745362
2018-01-05,GBP,GBP,1.0
2018-01-05,GBP,HKD,10.5968520414
2018-01-05,GBP,HRK,8.3649291766
2018-01-05,GBP,HUF,347.3892645388
2018-01-05,GBP,IDR,18186.1435820123
2018-01-05,GBP,ILS,4.6580335947
2018-01-05,GBP,INR,85.8758142727
2018-01-05,GBP,JPY,153.5164204629
2018-01-05,GBP,KRW,1441.4454957641
2018-01-05,GBP,MXN,26.2442761833
2018-01-05,GBP,MYR,5.4206091154
2018-01-05,GBP,NOK,10.9602511166
2018-01-05,GBP,NZD,1.8942879966
2018-01-05,GBP,PHP,67.5776020161
2018-01-05,GBP,PLN,4.6751347277
2018-01-05,GBP,RON,5.2148329827
2018-01-05,GBP,RUB,77.3740760325
2018-01-05,GBP,SEK,11.0615078249
2018-01-05,GBP,SGD,1.7993317057
2018-01-05,GBP,THB,43.6225149916
2018-01-05,GBP,TRY,5.0771238595
2018-01-05,GBP,USD,1.3551522788
2018-01-05,GBP,ZAR,16.7507847395
2018-01-05,USD,AUD,1.2753009548
2018-01-05,USD,BGN,1.6237442922
2018-01-05,USD,BRL,3.2425902864
2018-01-05,USD,CAD,1.2509755085
2018-01-05,USD,CHF,0.9760896638
2018-01-05,USD,CNY,6.4882523869
2018-01-05,USD,CZK,21.2486508925
2018-01-05,USD,DKK,6.1817351598
2018-01-05,USD,EUR,0.8302200083
2018-01-05,USD,GBP,0.73792445
2018-01-05,USD,HKD,7.8196762142
2018-01-05,USD,HRK,6.1726857617
2018-01-05,USD,HUF,256.3470319635
2018-01-05,USD,IDR,13420.0
2018-01-05,USD,ILS,3.4372768784
2018-01-05,USD,INR,63.3698630137
2018-01-05,USD,JPY,113.2835201328
2018-01-05,USD,KRW,1063.6778746368
2018-01-05,USD,MXN,19.3662930677
2018-01-05,USD,MYR,4.0
2018-01-05,USD,NOK,8.0878372769
2018-01-05,USD,NZD,1.397841428
2018-01-05,USD,PHP,49.8671647987
2018-01-05,USD,PLN,3.4498962225
2018-01-05,USD,RON,3.8481527605
2018-01-05,USD,RUB,57.096222499
2018-01-05,USD,SEK,8.1625570776
2018-01-05,USD,SGD,1.3277708593
2018-01-05,USD,THB,32.1901203819
2018-01-05,USD,TRY,3.7465338315
2018-01-05,USD,USD,1.0
2018-01-05,USD,ZAR,12.3608136156
2018-01-08,EUR,AUD,1.5289
2018-01-08,EUR,BGN,1.9558
2018-01-08,EUR,BRL,3.8825
2018-01-08,EUR,CAD,1.488
2018-01-08,EUR,CHF,1.1709
2018-01-08,EUR,CNY,7.7816
2018-01-08,EUR,CZK,25.524
2018-01-08,EUR,DKK,7.4467
2018-01-08,EUR,GBP,0.88413
2018-01-08,EUR,HKD,9.3656
2018-01-08,EUR,HRK,7.442
2018-01-08,EUR,HUF,308.84
2018-01-08,EUR,IDR,16084.83
2018-01-08,EUR,ILS,4.1207
2018-01-08,EUR,INR,76.0375
2018-01-08,EUR,JPY,135.34
2018-01-08,EUR,KRW,1277.87
2018-01-08,EUR,MXN,23.0819
2018-01-08,EUR,MYR,4.7929
2018-01-08,EUR,NOK,9.6783
2018-01-08,EUR,NZD,1.6702
2018-01-08,EUR,PHP,60.095
2018-01-08,EUR,PLN,4.1663
2018-01-08,EUR,RON,4.6206
2018-01-08,EUR,RUB,68.3774
2018-01-08,EUR,SEK,9.8165
2018-01-08,EUR,SGD,1.5956
2018-01-08,EUR,THB,38.565
2018-01-08,EUR,TRY,4.4887
2018-01-08,EUR,USD,1.1973
2018-01-08,EUR,ZAR,14.8924
2018-01-08,GBP,AUD,1.7292705824
2018-01-08,GBP,BGN,2.2121181274
2018-01-08,GBP,BRL,4.3913225431
2018-01-08,GBP,CAD,1.683010417
2018-01-08,GBP,CHF,1.3243527536
2018-01-08,GBP,CNY,8.8014206056
2018-01-08,GBP,CZK,28.8690577178
2018-01-08,GBP,DKK,8.4226301562
2018-01-08,GBP,EUR,1.1310553878
2018-01-08,GBP,GBP,1.0
2018-01-08,GBP,HKD,10.5930123398
2018-01-08,GBP,HRK,8.4173141959
2018-01-08,GBP,HUF,349.3151459627
2018-01-08,GBP,IDR,18192.833633063
2018-01-08,GBP,ILS,4.6607399364
2018-01-08,GBP,INR,86.0026240485
2018-01-08,GBP,JPY,153.0770361825
2018-01-08,GBP,KRW,1445.3417483854
2018-01-08,GBP,MXN,26.1069073553
2018-01-08,GBP,MYR,5.4210353681
2018-01-08,GBP,NOK,10.9466933596
2018-01-08,GBP,NZD,1.8890887087
2018-01-08,GBP,PHP,67.9707735288
2018-01-08,GBP,PLN,4.7123160621
2018-01-08,GBP,RON,5.2261545248
2018-01-08,GBP,RUB,77.3386266725
2018-01-08,GBP,SEK,11.1030052142
2018-01-08,GBP,SGD,1.8047119767
2018-01-08,GBP,THB,43.6191510298
2018-01-08,GBP,TRY,5.0769683191
2018-01-08,GBP,USD,1.3542126158
2018-01-08,GBP,ZAR,16.844129257
2018-01-08,USD,AUD,1.2769564854
2018-01-08,USD,BGN,1.633508728
2018-01-08,USD,BRL,3.2427127704
2018-01-08,USD,CAD,1.2427962917
2018-01-08,USD,CHF,0.9779503884
2018-01-08,USD,CNY,6.4992900693
2018-01-08,USD,CZK,21.3179654222
2018-01-08,USD,DKK,6.2195773824
2018-01-08,USD,EUR,0.8352125616
2018-01-08,USD,GBP,0.7384364821
2018-01-08,USD,HKD,7.8222667669
2018-01-08,USD,HRK,6.2156518834
2018-01-08,USD,HUF,257.9470475236
2018-01-08,USD,IDR,13434.2520671511
2018-01-08,USD,ILS,3.4416604026
2018-01-08,USD,INR,63.5074751524
2018-01-08,USD,JPY,113.0376680865
2018-01-08,USD,KRW,1067.2930760879
2018-01-08,USD,MXN,19.2782928255
2018-01-08,USD,MYR,4.0030902865
2018-01-08,USD,NOK,8.0834377349
2018-01-08,USD,NZD,1.3949720204
2018-01-08,USD,PHP,50.1920988892
2018-01-08,USD,PLN,3.4797460954
2018-01-08,USD,RON,3.8591831621
2018-01-08,USD,RUB,57.1096634093
2018-01-08,USD,SEK,8.1988641109
2018-01-08,USD,SGD,1.3326651633
2018-01-08,USD,THB,32.209972438
2018-01-08,USD,TRY,3.7490186252
2018-01-08,USD,USD,1.0
2018-01-08,USD,ZAR,12.4383195523
2018-01-09,EUR,AUD,1.5242
2018-01-09,EUR,BGN,1.9558
2018-01-09,EUR,BRL,3.8571
2018-01-09,EUR,CAD,1.4826
2018-01-09,EUR,CHF,1.1727
2018-01-09,EUR,CNY,7.7865
2018-01-09,EUR,CZK,25.535
2018-01-09,EUR,DKK,7.4469
2018-01-09,EUR,GBP,0.8827
2018-01-09,EUR,HKD,9.3323
2018-01-09,EUR,HRK,7.4475
2018-01-09,EUR,HUF,309.36
2018-01-09,EUR,IDR,16038.99
2018-01-09,EUR,ILS,4.1096
2018-01-09,EUR,INR,76.0215
2018-01-09,EUR,JPY,134.31
2018-01-09,EUR,KRW,1274.81
2018-01-09,EUR,MXN,22.9311
2018-01-09,EUR,MYR,4.7841
2018-01-09,EUR,NOK,9.6715
2018-01-09,EUR,NZD,1.6601
2018-01-09,EUR,PHP,59.994
2018-01-09,EUR,PLN,4.1795
2018-01-09,EUR,RON,4.653
2018-01-09,EUR,RUB,68.0535
2018-01-09,EUR,SEK,9.8288
2018-01-09,EUR,SGD,1.5932
2018-01-09,EUR,THB,38.481
2018-01-09,EUR,TRY,4.4843
2018-01-09,EUR,USD,1.1932
2018-01-09,EUR,ZAR,14.734
2018-01-09,GBP,AUD,1.7267474793
2018-01-09,GBP,BGN,2.2157018239
2018-01-09,GBP,BRL,4.3696612666
2018-01-09,GBP,CAD,1.6796193497
2018-01-09,GBP,CHF,1.3285374419
2018-01-09,GBP,CNY,8.8212303161
2018-01-09,GBP,CZK,28.9282882066
2018-01-09,GBP,DKK,8.4365016427
2018-01-09,GBP,EUR,1.1328877308
2018-01-09,GBP,GBP,1.0
2018-01-09,GBP,HKD,10.5724481704
2018-01-09,GBP,HRK,8.4371813753
2018-01-09,GBP,HUF,350.4701484083
2018-01-09,GBP,IDR,18170.3749858389
2018-01-09,GBP,ILS,4.6557154186
2018-01-09,GBP,INR,86.123824629
2018-01-09,GBP,JPY,152.1581511272
2018-01-09,GBP,KRW,1444.2166081341
2018-01-09,GBP,MXN,25.9783618443
2018-01-09,GBP,MYR,5.419848193
2018-01-09,GBP,NOK,10.9567236887
2018-01-09,GBP,NZD,1.8807069219
2018-01-09,GBP,PHP,67.9664665232
2018-01-09,GBP,PLN,4.734904271
2018-01-09,GBP,RON,5.2713266115
2018-01-09,GBP,RUB,77.0969751898
2018-01-09,GBP,SEK,11.1349269287
2018-01-09,GBP,SGD,1.8049167328
2018-01-09,GBP,THB,43.5946527699
2018-01-09,GBP,TRY,5.0802084513
2018-01-09,GBP,USD,1.3517616404
2018-01-09,GBP,ZAR,16.691967826
2018-01-09,USD,AUD,1.2774052967
2018-01-09,USD,BGN,1.6391216896
2018-01-09,USD,BRL,3.2325678847
2018-01-09,USD,CAD,1.242541066
2018-01-09,USD,CHF,0.9828193094
2018-01-09,USD,CNY,6.5257291317
2018-01-09,USD,CZK,21.4004358029
2018-01-09,USD,DKK,6.2411163258
2018-01-09,USD,EUR,0.8380824673
